frame,r_knee_angle,r_hip_angle,r_ankle_angle,l_knee_angle,l_hip_angle,l_ankle_angle,r_thigh_length,r_calf_length,l_thigh_length,l_calf_length,hip_width,r_knee_flexion,l_knee_flexion,r_quad_width,r_calf_width,l_quad_width,l_calf_width
1,161.35543236424434,165.24004471888412,165.8494828639001,146.41558128726328,151.34881557749688,165.2626023096303,0.3802980003426812,0.35840675597631716,0.38987835882532906,0.37667258062517955,0.23274624891367315,161.0612013317727,145.33634690914053,0.09418003416317144,0.10444701800114585,0.09922768200949045,0.11186408137521124
2,156.84194062939707,157.78211174822215,166.0216810592586,144.5759988731796,148.92943978071347,163.9216460563375,0.38095171190118354,0.3552873646654359,0.38968055553167774,0.3753409797698719,0.23359640334729237,156.5406586586192,143.86317367083998,0.09299098718640007,0.10565054633722733,0.1037917536735576,0.11121792441888531
3,152.60740761435383,153.5150078965384,166.1831625951712,140.5449644676545,146.04278894844407,162.87727246094204,0.3781668892985724,0.35297981088419,0.3873745890541116,0.3765777398589663,0.2344196267972524,152.29526917186038,140.18772312065434,0.09248087154612117,0.10601445793368607,0.10813104266328936,0.11158479901843776
4,154.08709636412144,155.63264898612732,165.55942139048258,139.07016297064726,143.48397733807013,164.92503467624934,0.37540268096231505,0.35343085510887967,0.38528879589731985,0.3764728579633574,0.23440473078520502,153.82225193269156,139.04422702970524,0.09113517802440087,0.1065966955080353,0.10852862437812504,0.11287416667084849
5,153.87358991291381,154.63995828467552,166.21024365850087,139.9127108556564,145.52177399535492,165.10968017717292,0.37382002180746055,0.3542203853438685,0.3825257247508196,0.37386645171176675,0.23273944155965393,153.65063690017953,139.35805119712862,0.09210657518109458,0.10661426792007868,0.10813972222136832,0.11184133531028473
6,155.56658359998792,162.24008000936232,163.75079614829338,137.2415945367121,144.84218295481085,165.16002445474405,0.36858188462919345,0.3616423998367724,0.3782532574688833,0.37357524814447457,0.23124202397323024,154.85730153058705,135.1748658668824,0.09412372747239994,0.10443644195138453,0.10460485472785455,0.11118103864395654
7,157.62520816021186,163.21802104233032,163.65197880794955,137.90432900618333,145.45070579452337,165.16838067191318,0.3677449221752567,0.3624499846508657,0.3788841790616558,0.37503264218556653,0.2294330909492956,155.97216686430252,133.14493424377702,0.09390325895973878,0.10418839769396968,0.10722367801745533,0.10929072715645362
8,154.8121517790887,163.25278977716536,162.93476682973179,137.46931655311994,144.77387423472567,164.62821655710925,0.3673555627701638,0.3669155671715698,0.37574091155275513,0.3746086411727069,0.22778625374606873,151.15921353841603,128.25882622330718,0.09352377514548707,0.10081851171822094,0.11084001938610882,0.10834119098609854
9,153.54489313930395,165.26367660771575,161.87032249182388,138.58359812548773,144.1724635294438,164.11453663193853,0.36763355047250657,0.3726460595539842,0.3795782714878724,0.363085693830521,0.22792964942033375,146.041084956877,124.94438724657195,0.09227249311497454,0.09838151863143892,0.1182449339366621,0.10435644075173613
10,159.01743921358218,170.0847227776981,161.3720715288972,148.9082571659228,145.135703307969,165.98469747655568,0.37191039043435975,0.3659595559391412,0.3759240436476377,0.36424241737645047,0.22678841691716708,144.6883605168478,127.0930480385747,0.09516605469844502,0.09465714486998421,0.12417141239969884,0.10446595081571862
